atendimento_id,cliente_id,centro_custo_id,produto_id,data_atendimento,frequencia,atendimento_valido,ativo
1,1,1,102,2025-12-10,1,1,1
2,2,2,101,2025-08-25,1,1,1
3,2,2,201,2025-10-26,1,1,1
4,3,7,402,2025-07-04,1,1,1
5,3,7,401,2026-01-29,1,0,1
6,3,7,402,2026-02-11,1,1,1
7,3,7,401,2025-08-30,1,0,1
8,3,7,401,2025-04-24,1,1,1
9,3,7,401,2025-04-23,1,1,1
10,4,5,102,2025-07-30,1,1,1
11,4,5,101,2025-06-22,1,1,1
12,4,5,102,2025-04-05,1,1,1
13,5,6,102,2026-01-11,1,1,1
14,5,6,201,2025-02-06,1,1,1
15,5,6,101,2025-10-27,1,1,1
16,5,6,101,2025-12-04,1,1,1
17,6,6,201,2025-11-05,1,1,1
18,6,6,302,2025-03-09,1,1,1
19,6,6,201,2025-02-21,1,1,1
20,7,6,301,2025-04-28,1,1,1
21,7,6,301,2025-05-27,1,1,1
22,8,2,102,2026-01-07,1,1,1
23,8,2,301,2025-09-10,1,1,1
24,8,2,301,2025-03-26,1,0,1
25,9,5,201,2025-12-25,1,1,1
26,9,5,302,2026-01-08,1,1,1
27,9,5,201,2025-03-15,1,1,1
28,9,5,101,2025-10-07,1,1,1
29,9,5,102,2025-05-25,1,1,1
30,10,6,101,2026-01-29,1,1,1
31,10,6,301,2025-11-17,1,1,1
32,10,6,301,2026-01-08,1,1,1
33,11,6,302,2025-12-27,1,1,1
34,11,6,101,2025-04-02,1,1,1
35,12,4,302,2025-12-07,1,1,1
36,12,4,301,2026-02-03,1,1,1
37,12,4,101,2025-09-14,1,1,1
38,12,4,301,2025-10-26,1,1,1
39,12,4,101,2025-12-19,1,1,1
40,12,4,301,2025-02-14,1,1,1
41,14,6,201,2025-02-15,1,1,1
42,15,4,201,2025-06-08,1,1,1
43,15,4,201,2025-02-25,1,1,1
44,15,4,201,2025-12-23,1,1,1
45,15,4,201,2025-04-24,1,1,1
46,16,6,301,2026-03-07,1,1,1
47,17,3,201,2025-11-03,1,1,1
48,17,3,102,2025-07-07,1,1,1
49,17,3,101,2025-03-19,1,1,1
50,17,3,301,2025-10-13,1,1,1
51,18,3,201,2025-10-07,1,1,1
52,18,3,201,2025-09-13,1,1,1
53,18,3,201,2025-04-28,1,1,1
54,19,1,302,2025-10-18,1,1,1
55,19,1,302,2025-11-14,1,1,1
56,20,7,401,2026-01-31,1,1,1
57,20,7,402,2025-04-16,1,1,1
58,20,7,402,2025-08-23,1,1,1
59,22,6,201,2025-09-15,1,1,1
60,22,6,101,2025-04-21,1,1,1
61,23,3,301,2026-01-22,1,1,1
62,23,3,102,2025-05-27,1,1,1
63,23,3,301,2025-05-22,1,1,1
64,23,3,102,2025-06-05,1,0,1
65,24,7,402,2025-11-18,1,1,1
66,24,7,401,2025-10-24,1,1,1
67,24,7,402,2025-08-18,1,1,1
68,24,7,402,2025-08-06,1,1,1
69,24,7,402,2025-08-06,1,1,1
70,24,7,401,2025-08-02,1,1,1
71,26,6,302,2025-03-22,1,1,1
72,26,6,302,2025-11-02,1,1,1
73,26,6,201,2025-12-07,1,1,1
74,26,6,102,2026-02-03,1,1,1
75,27,6,301,2025-02-28,1,1,1
76,27,6,301,2025-10-13,1,1,1
77,27,6,302,2025-04-29,1,1,1
78,27,6,101,2025-11-14,1,1,1
79,28,6,102,2025-08-01,1,0,1
80,28,6,101,2025-06-22,1,1,1
81,28,6,302,2026-02-08,1,1,1
82,28,6,101,2025-10-10,1,1,1
83,29,4,102,2025-07-09,1,1,1
84,29,4,302,2025-07-06,1,1,1
85,29,4,201,2025-10-19,1,1,1
86,31,6,101,2025-02-28,1,1,1
87,32,5,101,2025-03-09,1,1,1
88,32,5,302,2025-08-31,1,0,1
89,32,5,102,2025-06-08,1,1,1
90,32,5,302,2025-05-03,1,1,1
91,33,2,101,2025-03-21,1,1,1
92,33,2,301,2026-01-17,1,1,1
93,33,2,301,2025-08-15,1,1,1
94,33,2,301,2025-07-26,1,1,1
95,33,2,102,2025-08-01,1,1,1
96,34,7,402,2025-06-14,1,1,1
97,35,2,101,2026-02-20,1,1,1
98,35,2,101,2025-02-11,1,1,1
99,36,1,201,2025-02-01,1,1,1
100,36,1,302,2025-07-18,1,0,1
101,36,1,301,2025-11-18,1,1,1
102,36,1,302,2025-03-08,1,1,1
103,36,1,102,2025-12-15,1,1,1
104,37,4,101,2025-04-21,1,1,1
105,37,4,302,2025-05-02,1,1,1
106,37,4,301,2026-03-03,1,1,1
107,38,4,101,2025-11-03,1,1,1
108,39,2,201,2026-01-16,1,1,1
109,39,2,102,2025-04-27,1,1,1
110,39,2,101,2025-12-06,1,1,1
111,39,2,102,2025-07-23,1,1,1
112,39,2,301,2025-11-08,1,1,1
113,40,3,302,2025-06-07,1,0,1
114,40,3,201,2025-10-10,1,1,1
115,40,3,102,2025-02-22,1,1,1
116,40,3,201,2025-10-04,1,0,1
117,40,3,302,2025-10-25,1,1,1
118,41,6,302,2026-01-26,1,1,1
119,42,5,102,2025-04-11,1,1,1
120,42,5,301,2025-06-30,1,1,1
121,42,5,301,2025-08-13,1,1,1
122,43,2,101,2025-10-06,1,1,1
123,44,6,201,2026-01-24,1,1,1
124,44,6,101,2025-02-22,1,1,1
125,44,6,102,2025-07-08,1,1,1
126,45,6,201,2025-11-01,1,1,1
127,45,6,101,2025-07-06,1,0,1
128,45,6,301,2025-11-03,1,1,1
129,45,6,101,2026-01-17,1,1,1
130,45,6,301,2025-10-27,1,1,1
131,46,6,102,2025-05-07,1,1,1
132,46,6,102,2025-03-10,1,1,1
133,46,6,102,2025-11-20,1,1,1
134,46,6,302,2025-08-15,1,0,1
135,46,6,102,2025-04-01,1,1,1
136,47,1,201,2025-08-19,1,1,1
137,47,1,102,2025-08-25,1,1,1
138,47,1,101,2025-12-04,1,1,1
139,47,1,102,2025-06-13,1,1,1
140,47,1,301,2026-01-30,1,1,1
141,48,6,201,2025-02-06,1,1,1
142,48,6,301,2025-08-13,1,1,1
143,48,6,201,2025-05-09,1,1,1
144,48,6,301,2025-02-06,1,1,1
145,48,6,301,2026-02-28,1,0,1
146,49,3,101,2025-10-09,1,1,1
147,49,3,101,2025-07-18,1,1,1
148,49,3,102,2025-06-12,1,1,1
149,50,6,201,2025-06-26,1,1,1
150,50,6,302,2026-02-25,1,1,1
151,50,6,101,2025-05-15,1,1,1
152,50,6,101,2025-10-13,1,1,1
153,50,6,102,2025-02-19,1,1,1
154,50,6,301,2025-03-30,1,1,1
155,51,7,401,2025-03-07,1,1,1
156,53,5,102,2026-03-01,1,1,1
157,53,5,101,2025-10-16,1,1,1
158,53,5,102,2026-02-07,1,1,1
