cliente_id,razao_social,cnpj,porte,gestor_id,data_cadastro,ativo
1,Comercial Litoral ME,10000001000107,MEI,4,2025-03-13,1
2,Transportes Silva e Cia,10000002000114,MEI,4,2025-01-16,1
3,Servicos Souza e Cia,10000003000121,ME,3,2025-10-15,1
4,Transportes Central EIRELI,10000004000128,MEI,7,2025-05-23,1
5,Industria Litoral S.A.,10000005000135,MEI,1,2025-03-21,1
6,Alimentos Silva Ltda,10000006000142,MEI,7,2025-07-03,1
7,Papelaria Oeste Ltda,10000007000149,ME,12,2025-10-02,1
8,Tecnologia Silva e Cia,10000008000156,MEI,4,2025-11-18,1
9,Papelaria Souza Ltda,10000009000163,MEI,12,2025-04-27,1
10,Distribuidora Souza Ltda,10000010000170,MEI,10,2025-08-21,1
11,Industria Oeste ME,10000011000177,MEI,12,2025-05-17,1
12,Papelaria Litoral EIRELI,10000012000184,ME,3,2025-05-06,1
13,Construtora Central ME,10000013000191,MEDIA,6,2025-11-24,1
14,Alimentos Silva EIRELI,10000014000198,EPP,8,2026-02-17,1
15,Tecnologia Oeste Ltda,10000015000105,MEI,11,2026-04-28,1
16,Servicos Litoral S.A.,10000016000112,MEI,11,2026-04-14,1
17,Industria Oeste EIRELI,10000017000119,MEI,15,2025-10-15,1
18,Papelaria Central e Cia,10000018000126,MEI,9,2025-04-23,1
19,Transportes Central Ltda,10000019000133,ME,5,2026-03-17,1
20,Industria Litoral EIRELI,10000020000140,ME,4,2025-08-05,1
21,Tecnologia Central e Cia,10000021000147,GRANDE,3,2025-09-28,1
22,Transportes Silva Ltda,10000022000154,ME,9,2025-10-02,1
23,Alimentos Silva ME,10000023000161,MEI,9,2025-08-21,1
24,Confeccoes Norte EIRELI,10000024000168,ME,1,2025-02-24,1
25,Transportes Norte EIRELI,10000025000175,MEI,10,2026-01-26,1
26,Transportes Norte Ltda,10000026000182,ME,6,2025-09-08,1
27,Distribuidora Oeste ME,10000027000189,MEI,1,2025-05-04,1
28,Distribuidora Litoral S.A.,10000028000196,EPP,3,2026-05-16,1
29,Industria Litoral S.A.,10000029000103,EPP,5,2025-03-26,1
30,Transportes Norte S.A.,10000030000110,MEDIA,9,2026-04-21,1
31,Confeccoes Central ME,10000031000117,MEI,7,2025-09-22,1
32,Distribuidora Souza EIRELI,10000032000124,MEI,15,2025-01-11,1
33,Papelaria Souza Ltda,10000033000131,MEI,8,2025-11-20,1
34,Servicos Silva Ltda,10000034000138,EPP,2,2025-02-06,1
35,Confeccoes Litoral S.A.,10000035000145,MEI,8,2025-03-09,1
36,Servicos Central S.A.,10000036000152,MEI,16,2025-02-19,1
37,Alimentos Central S.A.,10000037000159,ME,14,2026-01-09,1
38,Distribuidora Silva S.A.,10000038000166,ME,2,2026-02-14,1
39,Servicos Souza EIRELI,10000039000173,ME,4,2025-03-13,1
40,Industria Oeste S.A.,10000040000180,MEI,14,2026-04-18,1
41,Construtora Norte Ltda,10000041000187,MEI,3,2025-10-04,1
42,Distribuidora Souza EIRELI,10000042000194,MEI,1,2025-09-04,1
43,Tecnologia Silva EIRELI,10000043000101,MEI,7,2025-07-19,1
44,Construtora Oeste S.A.,10000044000108,ME,9,2026-01-10,1
