cliente_id,respondeu,aumento_faturamento_pct,data_resposta
1,1,19.22,2025-07-16
2,0,,
3,0,,
4,1,3.77,2025-09-24
5,0,,
6,0,,
7,0,,
8,0,,
9,0,,
10,0,,
11,0,,
12,0,,
13,0,,
14,0,,
15,0,,
16,0,,
17,0,,
18,0,,
19,0,,
20,1,24.09,2025-09-18
21,0,,
22,1,10.51,2025-09-18
23,1,-10.49,2025-07-23
24,0,,
25,1,26.05,2025-09-21
26,1,-11.49,2025-07-14
27,0,,
28,1,12.88,2025-09-03
29,0,,
30,0,,
31,0,,
32,0,,
33,1,10.82,2025-07-22
34,0,,
35,0,,
36,1,34.28,2025-06-27
37,0,,
38,0,,
39,0,,
40,0,,
41,0,,
42,0,,
43,0,,
44,0,,
45,1,45.24,2025-06-12
46,1,43.02,2025-07-29
47,1,4.86,2025-07-12
48,0,,
49,0,,
50,0,,
51,0,,
52,1,37.53,2025-09-28
53,0,,
54,1,46.78,2025-09-24
55,1,51.9,2025-08-21
56,0,,
57,0,,
58,0,,
59,0,,
60,1,23.24,2025-07-25
61,0,,
62,0,,
63,0,,
64,0,,
65,0,,
66,1,-1.61,2025-07-27
67,1,25.24,2025-09-23
68,1,0.95,2025-07-24
69,0,,
70,0,,
71,1,21.12,2025-07-22
72,0,,
73,1,21.08,2025-09-12
74,1,29.64,2025-07-23
75,0,,
76,1,12.99,2025-07-04
77,0,,
78,0,,
79,0,,
80,1,21.81,2025-08-15
81,0,,
82,0,,
83,1,46.27,2025-07-25
84,0,,
85,0,,
86,0,,
87,0,,
88,0,,
89,1,-6.67,2025-07-25
90,0,,
91,1,59.55,2025-06-21
92,1,31.69,2025-08-15
93,0,,
94,0,,
95,0,,
96,1,20.84,2025-07-05
97,0,,
98,0,,
99,0,,
100,0,,
101,0,,
102,0,,
103,1,40.31,2025-07-20
104,1,-3.39,2025-07-11
105,0,,
106,0,,
107,0,,
108,1,43.43,2025-06-08
109,0,,
110,0,,
111,0,,
112,0,,
113,0,,
114,1,32.14,2025-07-27
115,0,,
116,0,,
117,0,,
118,0,,
119,1,38.86,2025-06-30
120,0,,
121,0,,
122,1,-2.95,2025-08-17
123,1,27.76,2025-07-11
124,0,,
125,1,44.81,2025-06-09
126,0,,
127,1,22.89,2025-07-08
128,1,24.8,2025-08-24
129,0,,
130,1,24.98,2025-08-20
131,1,11.23,2025-06-12
132,0,,
133,0,,
134,1,22.87,2025-09-19
135,0,,
136,0,,
137,1,-2.39,2025-08-13
138,1,29.15,2025-07-28
139,0,,
140,0,,
141,0,,
142,0,,
143,1,8.12,2025-09-07
144,1,-4.46,2025-08-26
145,0,,
146,0,,
147,0,,
148,1,11.94,2025-08-20
149,0,,
150,1,18.73,2025-07-11
151,0,,
152,0,,
153,0,,
154,0,,
155,0,,
156,1,-1.39,2025-06-28
157,0,,
158,0,,
159,0,,
160,1,7.54,2025-08-29
161,0,,
162,1,25.6,2025-06-13
163,0,,
164,0,,
165,1,23.04,2025-08-21
166,0,,
167,0,,
168,0,,
169,1,-4.58,2025-07-20
170,0,,
171,1,22.84,2025-06-16
172,1,23.47,2025-07-10
173,0,,
174,0,,
175,1,28.05,2025-06-10
176,0,,
177,0,,
178,1,57.66,2025-07-27
179,0,,
180,0,,
181,0,,
182,1,40.37,2025-09-20
183,0,,
184,0,,
185,0,,
186,0,,
187,0,,
188,1,43.26,2025-06-20
189,0,,
190,0,,
191,0,,
192,0,,
193,1,6.25,2025-09-25
194,1,41.65,2025-08-26
195,0,,
196,1,41.26,2025-08-07
197,0,,
