cliente_id,razao_social,cnpj,porte,municipio,gestor_id,gestor,vertical,status,qtd_planos_concluidos,qtd_planos_inconsistentes,planos_concluidos,planos_inconsistentes,pj_distinto_oficial,elegivel_azul,respondeu,aumento_faturamento_pct
1,Comercial Litoral ME,10000001000107,MEI,SAO JOSE DO RIO PRETO,4,Diego Alves,Atendimento ao Cliente,Participante,0,0,,,0,0,1,19.22
2,Transportes Silva e Cia,10000002000114,MEI,SAO JOSE DO RIO PRETO,4,Diego Alves,Atendimento ao Cliente,Participante,0,0,,,0,0,0,
3,Servicos Souza e Cia,10000003000121,ME,CAMPINAS,3,Carla Dias,Turismo e Agronegocio,Concluinte,1,0,Plano D - Sustentabilidade,,1,1,0,
4,Transportes Central EIRELI,10000004000128,MEI,SOROCABA,7,Giovana Melo,Sustentabilidade,Participante,0,0,,,0,0,1,3.77
5,Industria Litoral S.A.,10000005000135,MEI,CAMPINAS,1,Ana Souza,Comercio e Servicos,Participante,0,0,,,0,0,0,
6,Alimentos Silva Ltda,10000006000142,MEI,SAO CARLOS,7,Giovana Melo,Sustentabilidade,Participante,0,0,,,0,0,0,
7,Papelaria Oeste Ltda,10000007000149,ME,SAO JOSE DO RIO PRETO,12,Lucas Barros,Empreendedorismo Cultural,Participante,0,0,,,0,0,0,
8,Tecnologia Silva e Cia,10000008000156,MEI,ARACATUBA,4,Diego Alves,Atendimento ao Cliente,Participante,0,0,,,0,0,0,
9,Papelaria Souza Ltda,10000009000163,MEI,SAO CARLOS,12,Lucas Barros,Empreendedorismo Cultural,Concluinte,1,0,Plano B - Projetos Especiais,,1,1,0,
10,Distribuidora Souza Ltda,10000010000170,MEI,RIBEIRAO PRETO,10,Joao Pedro,Turismo e Agronegocio,Participante,0,0,,,0,0,0,
11,Industria Oeste ME,10000011000177,MEI,ARACATUBA,12,Lucas Barros,Empreendedorismo Cultural,Participante,0,0,,,0,0,0,
12,Papelaria Litoral EIRELI,10000012000184,ME,SAO CARLOS,3,Carla Dias,Turismo e Agronegocio,Participante,0,0,,,0,0,0,
13,Construtora Central ME,10000013000191,MEDIA,CAMPINAS,6,Fabio Nunes,Consultoria Especializada,Sem atendimento,0,0,,,0,0,0,
14,Alimentos Silva EIRELI,10000014000198,EPP,PRESIDENTE PRUDENTE,8,Hugo Ramos,Comercio e Servicos,Participante,0,0,,,0,0,0,
15,Tecnologia Oeste Ltda,10000015000105,MEI,CAMPINAS,11,Karina Reis,Atendimento ao Cliente,Participante,0,0,,,0,0,0,
16,Servicos Litoral S.A.,10000016000112,MEI,RIBEIRAO PRETO,11,Karina Reis,Atendimento ao Cliente,Participante,0,0,,,0,0,0,
17,Industria Oeste EIRELI,10000017000119,MEI,BAURU,15,Olivia Prado,Comercio e Servicos,Participante,0,0,,,0,0,0,
18,Papelaria Central e Cia,10000018000126,MEI,FRANCA,9,Iara Costa,Tecnologia e Inovacao,Participante,0,0,,,0,0,0,
19,Transportes Central Ltda,10000019000133,ME,MARILIA,5,Elisa Rocha,Empreendedorismo Cultural,Participante,0,0,,,0,0,0,
20,Industria Litoral EIRELI,10000020000140,ME,SAO CARLOS,4,Diego Alves,Atendimento ao Cliente,Concluinte,1,0,Plano D - Sustentabilidade,,1,1,1,24.09
21,Tecnologia Central e Cia,10000021000147,GRANDE,SAO CARLOS,3,Carla Dias,Turismo e Agronegocio,Sem atendimento,0,0,,,0,0,0,
22,Transportes Silva Ltda,10000022000154,ME,ARACATUBA,9,Iara Costa,Tecnologia e Inovacao,Participante,0,0,,,0,0,1,10.51
23,Alimentos Silva ME,10000023000161,MEI,SOROCABA,9,Iara Costa,Tecnologia e Inovacao,Participante,0,0,,,0,0,1,-10.49
24,Confeccoes Norte EIRELI,10000024000168,ME,SOROCABA,1,Ana Souza,Comercio e Servicos,Concluinte,1,0,Plano D - Sustentabilidade,,1,1,0,
25,Transportes Norte EIRELI,10000025000175,MEI,BAURU,10,Joao Pedro,Turismo e Agronegocio,Sem atendimento,0,0,,,0,0,1,26.05
26,Transportes Norte Ltda,10000026000182,ME,CAMPINAS,6,Fabio Nunes,Consultoria Especializada,Participante,0,0,,,0,0,1,-11.49
27,Distribuidora Oeste ME,10000027000189,MEI,CAMPINAS,1,Ana Souza,Comercio e Servicos,Participante,0,0,,,0,0,0,
28,Distribuidora Litoral S.A.,10000028000196,EPP,SAO CARLOS,3,Carla Dias,Turismo e Agronegocio,Participante,0,0,,,0,0,1,12.88
29,Industria Litoral S.A.,10000029000103,EPP,SOROCABA,5,Elisa Rocha,Empreendedorismo Cultural,Participante,0,0,,,0,0,0,
30,Transportes Norte S.A.,10000030000110,MEDIA,RIBEIRAO PRETO,9,Iara Costa,Tecnologia e Inovacao,Sem atendimento,0,0,,,0,0,0,
31,Confeccoes Central ME,10000031000117,MEI,SAO JOSE DO RIO PRETO,7,Giovana Melo,Sustentabilidade,Participante,0,0,,,0,0,0,
32,Distribuidora Souza EIRELI,10000032000124,MEI,SAO CARLOS,15,Olivia Prado,Comercio e Servicos,Participante,0,0,,,0,0,0,
33,Papelaria Souza Ltda,10000033000131,MEI,ARACATUBA,8,Hugo Ramos,Comercio e Servicos,Participante,0,0,,,0,0,1,10.82
34,Servicos Silva Ltda,10000034000138,EPP,SAO CARLOS,2,Bruno Lima,Tecnologia e Inovacao,Concluinte,1,0,Plano D - Sustentabilidade,,1,1,0,
35,Confeccoes Litoral S.A.,10000035000145,MEI,ARACATUBA,8,Hugo Ramos,Comercio e Servicos,Participante,0,0,,,0,0,0,
36,Servicos Central S.A.,10000036000152,MEI,RIBEIRAO PRETO,16,Paulo Cezar,Tecnologia e Inovacao,Participante,0,0,,,0,0,1,34.28
37,Alimentos Central S.A.,10000037000159,ME,SOROCABA,14,Nicolas Vieira,Sustentabilidade,Participante,0,0,,,0,0,0,
38,Distribuidora Silva S.A.,10000038000166,ME,FRANCA,2,Bruno Lima,Tecnologia e Inovacao,Participante,0,0,,,0,0,0,
39,Servicos Souza EIRELI,10000039000173,ME,CAMPINAS,4,Diego Alves,Atendimento ao Cliente,Participante,0,0,,,0,0,0,
40,Industria Oeste S.A.,10000040000180,MEI,BAURU,14,Nicolas Vieira,Sustentabilidade,Participante,0,1,,Plano B - Projetos Especiais,0,1,0,
41,Construtora Norte Ltda,10000041000187,MEI,RIBEIRAO PRETO,3,Carla Dias,Turismo e Agronegocio,Participante,0,0,,,0,0,0,
42,Distribuidora Souza EIRELI,10000042000194,MEI,MARILIA,1,Ana Souza,Comercio e Servicos,Participante,0,0,,,0,0,0,
43,Tecnologia Silva EIRELI,10000043000101,MEI,PRESIDENTE PRUDENTE,7,Giovana Melo,Sustentabilidade,Participante,0,0,,,0,0,0,
44,Construtora Oeste S.A.,10000044000108,ME,RIBEIRAO PRETO,9,Iara Costa,Tecnologia e Inovacao,Participante,0,0,,,0,0,0,
45,Industria Souza ME,10000045000115,MEI,RIBEIRAO PRETO,16,Paulo Cezar,Tecnologia e Inovacao,Participante,0,0,,,0,0,1,45.24
46,Alimentos Silva Ltda,10000046000122,ME,FRANCA,2,Bruno Lima,Tecnologia e Inovacao,Participante,0,0,,,0,0,1,43.02
47,Comercial Norte Ltda,10000047000129,EPP,RIBEIRAO PRETO,6,Fabio Nunes,Consultoria Especializada,Participante,0,0,,,0,0,1,4.86
48,Servicos Central Ltda,10000048000136,EPP,FRANCA,3,Carla Dias,Turismo e Agronegocio,Participante,0,0,,,0,0,0,
49,Papelaria Norte Ltda,10000049000143,ME,RIBEIRAO PRETO,8,Hugo Ramos,Comercio e Servicos,Participante,0,0,,,0,0,0,
50,Confeccoes Souza ME,10000050000150,MEI,ARACATUBA,11,Karina Reis,Atendimento ao Cliente,Participante,0,0,,,0,0,0,
51,Confeccoes Central ME,10000051000157,EPP,RIBEIRAO PRETO,5,Elisa Rocha,Empreendedorismo Cultural,Concluinte,1,0,Plano D - Sustentabilidade,,1,1,0,
